Group,ATL / Candidate,Group/Party/IND,All Saints Belmont,Belmont High,Belmont N'hood Cntr,Belmont Public,Blacksmiths Public,Charlestown E Public,Charlestown Public,Charlestown Sth Public,Eleebana Public,Floraville Public,Hunter Sports High,Jewells Public,Marks Pt Public,Mt Hutton Public,Nords Wharf Hall,Redhead Public,Speers Pt Masonic,Swansea High,Swansea Public,The Swansea Cntr,Valentine Hall,Valentine Public,Warners Bay High,Windale Public,Belmont Pre-Poll,Cameron Park Pre-Poll,Charlestown Pre-Poll,Cooranbong Pre-Poll,Speers Point Pre-Poll,Swansea Pre-Poll,Toronto Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,,20,22,43,58,46,25,14,16,99,57,42,68,43,70,14,48,2,54,24,68,17,77,6,71,227,1,93,1,19,165,1,68,284,120,1983
,PAYNTER Basil,IND,2,0,9,11,0,3,2,3,5,8,7,6,4,11,3,4,0,8,3,8,1,2,0,5,34,0,14,0,3,17,1,11,25,10,220
,STEEL Jason,IND,0,0,4,3,2,1,0,0,0,2,4,1,2,2,1,3,0,1,2,3,2,2,1,3,9,0,0,0,1,7,0,2,12,2,72
,YOUNGBERRY Mitchell,IND,0,3,1,3,2,1,0,1,5,3,1,0,1,2,0,4,2,0,1,0,2,12,1,1,8,0,13,0,3,5,0,2,23,10,110
,MOORE Matthew,IND,0,0,1,2,0,1,1,1,0,2,1,1,0,1,0,2,0,2,0,0,0,2,0,3,6,0,2,0,0,4,0,1,15,5,53
B,ATL Votes,LIBERAL,115,154,138,241,152,93,61,41,664,318,120,290,180,264,129,344,9,351,176,311,172,465,30,132,1374,4,437,1,186,997,8,219,1454,670,10300
,JONES Nicholas,Liberal,12,11,5,20,3,6,7,1,36,23,6,7,12,22,11,19,2,19,5,13,9,23,2,8,78,0,11,0,8,33,1,14,39,31,497
,BLACK Erin,Liberal,1,2,0,3,0,1,2,0,10,3,1,0,3,7,0,9,0,9,0,1,0,7,1,1,6,0,4,0,3,6,1,5,18,2,106
,WILLIAMS Richie,Liberal,1,3,1,4,1,0,0,1,0,1,1,1,1,3,0,3,0,4,0,1,0,1,0,1,4,0,3,0,1,1,0,4,5,5,51
,HEYNE Phillip,Liberal,0,2,2,0,1,2,0,0,0,2,1,2,0,4,1,1,1,2,0,3,1,0,0,1,4,0,2,0,1,1,0,0,4,5,43
C,ATL Votes,LAKE MAC INDEPENDENTS,63,102,151,168,121,63,64,45,315,186,123,190,151,205,67,188,5,171,127,236,67,218,24,169,619,4,305,0,64,556,2,179,1014,401,6363
