Group,ATL / Candidate,Group/Party/IND,Barnsley Public,Cameron Park Comm. Cntr,Cardiff Hghts Baptist,Cardiff Nth Public,Cardiff Public,Cardiff Sth Public,Charlestown E Public,Charlestown Public,Charlestown Sth Public,Dudley Pensioners Hall,Edgeworth Heights Public,Edgeworth Public,Elermore Vale Public,Garden Suburb Public,Glendale E Public,Hillsborough Public,Kahibah Public,Kotara High,Kotara Sth Public,Mt Hutton Public,Speers Pt Masonic,W Wallsend High,Wallsend Sth Public,Warners Bay Baptist,Warners Bay High,Warners Bay Public,Whitebridge High,Belmont Pre-Poll,Cameron Park Pre-Poll,Charlestown Pre-Poll,Cooranbong Pre-Poll,Speers Point Pre-Poll,Swansea Pre-Poll,Toronto Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,THE GREENS,47,133,158,128,105,108,81,186,111,144,61,133,32,140,89,105,186,42,64,45,14,115,85,21,109,71,88,10,150,362,3,118,6,6,224,873,159,4512
,OAKLEY Jane,The Greens,3,19,10,15,9,5,5,11,13,14,7,12,1,6,12,7,10,5,4,2,2,8,8,0,11,3,14,1,18,49,0,9,0,1,23,68,13,398
,MCNAMARA Michael,The Greens,1,2,1,1,1,3,4,0,0,0,0,4,0,0,0,1,3,0,0,1,0,2,1,0,1,0,1,0,4,5,0,1,0,0,4,3,2,46
,THROWER Martin,The Greens,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,0,2,2,0,15
,MCLEAN Andrew,The Greens,0,1,1,2,1,0,1,0,0,0,1,1,1,0,2,2,1,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,3,9,4,36
B,ATL Votes,LIBERAL,111,396,243,162,160,178,111,209,170,204,122,230,35,217,178,177,290,58,80,72,20,217,107,50,297,172,138,48,555,943,4,391,7,18,211,1468,532,8581
,ANTCLIFF Jack,Liberal,3,20,11,11,5,14,14,10,6,15,7,16,0,10,4,12,16,1,3,1,0,13,2,5,19,5,5,0,24,52,0,23,0,0,19,37,6,389
,SCHULTZ Matt,Liberal,3,7,4,6,1,3,1,8,1,2,2,2,1,3,3,5,3,1,2,0,0,4,3,0,6,5,2,1,5,14,0,8,0,0,7,15,6,134
,STEVENSON Timothy,Liberal,1,4,3,2,4,0,0,1,2,3,3,3,0,0,2,2,4,0,0,0,0,2,0,0,3,1,1,0,2,4,0,9,0,0,2,12,2,72
,REGENT Phillip,Liberal,2,2,3,1,1,0,0,1,1,0,2,0,1,2,1,2,1,0,1,1,0,0,1,0,3,1,2,0,6,6,0,1,0,0,6,12,1,61
