Group,ATL / Candidate,Group/Party/IND,Arcadia Vale Public,Argenton Comm. Hall,Barnsley Public,Biraban Public,Blackalls Park Public,Bolton Pt Hall,Bonnells Bay Public,Booragul Public,Cardiff Public,Cardiff Sth Public,Coal Pt Public,Cooranbong Public,Dora Crk Arts Hall,Fassifern Public,Fennell Bay Public,Kilaben Bay Hall,Lakelands Hall,Morisset Public,Rathmines Hall,Speers Pt Masonic,Speers Pt Public,Sth Lake Macquarie Sailing Club,Teralba Public,Toronto MPC,Wangi Wangi Public,Warners Bay Baptist,Warners Bay High,Woodrising Neighbourhood Cntr,Wyee Hall,Belmont Pre-Poll,Cameron Park Pre-Poll,Charlestown Pre-Poll,Cooranbong Pre-Poll,Speers Point Pre-Poll,Swansea Pre-Poll,Toronto Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,LIBERAL,145,80,46,108,146,59,512,148,215,31,301,295,225,101,114,189,309,229,391,181,122,106,204,174,283,10,96,110,411,14,32,60,1813,566,17,1364,296,1570,679,11752
,PAULING Jason,Liberal,17,13,9,15,19,4,41,18,12,1,19,23,30,4,12,11,17,19,34,22,19,16,21,14,35,1,6,7,42,0,3,5,116,48,0,67,32,64,46,882
,PATERSON Lindsay,Liberal,4,3,0,2,3,2,9,0,2,0,1,3,4,1,0,0,1,2,8,3,2,0,3,0,5,0,0,0,8,0,3,1,14,5,1,7,1,20,6,124
,ROSS Brett,Liberal,1,0,0,1,0,0,2,1,2,0,0,2,2,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,5,4,0,0,2,8,6,49
,BROWNHILL Colin,Liberal,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,4,0,10,3,37
B,ATL Votes,LAKE MAC INDEPENDENTS,152,109,69,186,230,75,486,160,197,22,211,360,247,112,145,167,170,270,325,164,91,150,172,209,259,16,58,147,363,15,36,38,1199,363,9,1136,315,1627,515,10575
,CUBIS Luke,Local Independents,11,8,5,14,13,6,32,16,17,1,10,18,18,7,13,4,6,12,18,13,13,9,9,14,24,0,3,4,20,0,3,3,51,26,0,53,21,61,41,597
,GIBSON David,Local Independents,6,0,1,4,3,2,8,0,2,0,1,3,1,2,3,3,3,6,3,2,0,4,3,2,7,0,0,0,2,0,0,0,9,9,1,16,8,19,6,139
,CUBIS Kylie,Local Independents,3,3,2,7,1,1,10,2,2,0,4,0,0,0,3,0,2,5,1,5,0,0,4,1,4,0,0,1,6,0,0,0,13,5,0,12,8,27,8,140
,EDWARDS Daphne,Local Independents,2,1,0,1,2,0,6,2,2,1,2,5,0,0,2,2,0,2,5,2,1,0,1,4,2,0,1,1,2,0,0,0,13,5,0,12,3,12,8,102
C,ATL Votes,THE GREENS,54,44,23,68,73,31,155,66,88,14,83,124,67,35,63,62,91,79,96,70,57,40,62,88,112,3,28,34,83,6,10,26,245,117,1,356,169,507,117,3447
,SCHRANER Ingrid,The Greens,7,4,2,5,4,7,20,5,5,0,8,7,9,1,1,5,3,7,13,3,6,8,6,13,7,0,2,2,2,0,3,2,14,12,0,49,8,40,17,307
,GRIERSON Kim,The Greens,1,2,0,1,0,1,2,0,2,0,2,0,1,0,0,0,2,1,0,0,0,0,2,2,1,0,1,0,3,0,0,0,3,0,0,3,5,11,0,46
,MOORE Fiona,The Greens,0,1,0,0,1,0,2,3,1,0,2,2,1,0,2,1,4,0,1,2,1,0,1,1,3,1,0,0,1,0,0,2,3,2,0,5,4,6,1,54
,DREWER Annie,The Greens,0,1,0,1,0,0,2,2,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,6,1,7,1,35
D,ATL Votes,LABOR,205,235,102,313,312,107,547,273,346,43,190,288,238,140,247,152,377,287,480,331,192,167,265,275,321,19,132,258,369,25,70,96,977,676,9,1632,427,2101,588,13812
,BELCHER David,Labor,8,11,5,20,9,8,42,11,21,2,7,9,17,10,20,3,8,22,21,9,6,25,14,10,23,0,2,6,17,2,0,3,55,37,0,47,30,53,30,623
,BISHOP Madeline,Labor,5,5,4,11,8,2,11,11,10,3,4,3,5,3,7,1,3,7,5,3,7,4,5,5,6,2,1,3,13,0,0,0,14,14,1,11,12,37,22,268
,SMITH Jo,Labor,1,3,2,5,6,1,6,4,5,0,3,2,5,2,6,1,3,4,1,4,5,0,4,4,3,0,3,1,2,0,1,1,6,12,0,14,13,26,7,166
,HAUSER David,Labor,1,0,0,2,1,0,2,1,3,0,1,3,1,0,2,0,0,1,1,2,1,0,2,0,1,0,1,1,2,0,0,0,3,4,0,4,1,13,6,60
,UNGROUPED CANDIDATES,UNGROUPED CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAWSON Rosmairi,IND,18,5,2,14,8,4,117,6,7,3,12,50,49,7,12,14,4,46,37,12,7,47,13,32,35,1,3,2,38,1,1,2,248,26,2,126,21,214,182,1428
,Total Formal Votes,,641,528,272,780,840,310,2013,729,942,121,861,1197,922,427,653,617,1004,1002,1444,831,531,577,792,849,1133,53,337,577,1389,63,162,240,4805,1937,41,4924,1377,6433,2289,44643
,Total Informal Ballot Papers,,41,33,26,69,81,30,243,64,69,5,42,108,82,30,38,15,44,93,92,69,21,55,61,53,91,4,34,40,169,4,10,9,301,84,1,222,68,81,83,2665
,Total Votes / Ballot Papers,,682,561,298,849,921,340,2256,793,1011,126,903,1305,1004,457,691,632,1048,1095,1536,900,552,632,853,902,1224,57,371,617,1558,67,172,249,5106,2021,42,5146,1445,6514,2372,47308
