Group,ATL / Candidate,Group/Party/IND,Carrington Public,Hamilton Comm. Hive,Hamilton Public,Hamilton Sth Public,Islington Public,Mayfield Church of Christ,Mayfield E Public,Mayfield Presbyterian,New Lambton Sth Public,Newcastle E Public,Newcastle TAFE,St Andrews Mayfield,St Johns Cooks Hill,Stockton Public,The Junction Public,Warabrook Comm. Cntr,WEA Hunter Laman St Campus,Adamstown Pre-Poll,Lambton Pre-Poll,Mayfield Pre-Poll,Newcastle RO Office,Wallsend Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,,276,14,17,22,152,125,169,219,6,239,70,164,131,309,22,164,167,86,24,884,705,26,162,599,389,5141
,CHURCH John,IND,43,2,6,4,28,29,31,41,2,48,16,43,17,67,4,28,20,14,4,145,109,8,44,112,76,941
,SHARPE Scott,IND,9,0,0,0,2,2,2,2,0,3,0,2,1,1,0,1,1,0,1,9,5,1,6,10,8,66
,DAVIES Sally,IND,2,1,0,1,1,1,5,3,0,3,0,1,1,4,1,1,3,0,0,6,7,0,8,16,1,66
B,ATL Votes,LABOR,484,39,65,36,316,208,388,392,25,256,106,289,152,415,45,281,170,118,39,1038,559,44,334,1316,361,7476
,CLAUSEN Declan,Labor,26,1,2,0,16,11,14,22,0,17,7,20,5,23,3,12,11,5,1,36,25,2,22,51,18,350
,WHITE Emma,Labor,10,1,2,0,9,8,11,14,2,4,3,8,3,12,1,5,3,4,0,18,14,1,11,17,9,170
,SMOOTHY Rachel,Labor,2,1,0,0,1,1,4,6,0,4,1,6,1,3,1,4,1,0,0,6,3,1,5,10,2,63
C,ATL Votes,LIBERAL,139,14,18,15,84,57,104,83,7,133,29,65,64,169,26,94,70,42,16,389,332,15,127,637,161,2890
,KEATING Blake,Liberal,8,0,1,1,5,3,4,3,0,7,3,3,6,9,0,8,2,1,0,21,9,1,7,27,10,139
,HAYES Edward,Liberal,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,1,0,0,5,0,0,2,6,1,23
,POOLE Graham,Liberal,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,1,1,1,0,1,3,0,2,5,0,20
D,ATL Votes,SOCIALIST ALLIANCE,54,3,9,5,40,24,31,42,1,63,18,34,22,28,7,8,24,4,4,83,65,5,34,94,30,732
,O'BRIEN Steve,,5,1,0,2,9,6,4,4,0,11,8,3,3,1,1,1,3,4,1,14,12,1,8,12,7,121
,ASHBY Samantha,,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,2,3,0,2,9,1,24
,LEMMICH Darcy,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,7
E,ATL Votes,THE GREENS,345,41,55,25,413,106,263,204,18,299,175,158,135,129,31,75,149,64,17,465,408,21,234,699,122,4651
,MACKENZIE John,The Greens,34,4,3,1,25,7,16,17,0,35,18,12,6,14,1,8,14,8,1,47,53,2,25,58,10,419
,BURGESS Cathy,The Greens,10,4,1,3,4,2,5,4,0,2,3,4,3,1,1,2,5,0,0,7,3,1,8,11,5,89
,ROOKE-FRIZELL Anne,The Greens,2,2,0,1,0,2,1,0,0,3,1,0,2,0,1,2,1,1,0,7,0,0,4,9,1,40
,Total Formal Votes,,1450,128,180,117,1105,592,1054,1059,61,1129,458,813,553,1188,147,699,647,352,108,3184,2316,129,1045,3702,1212,23428
,Total Informal Ballot Papers,,59,5,5,3,47,38,51,85,3,31,14,57,27,77,7,49,19,18,3,143,65,6,43,36,16,907
,Total Votes / Ballot Papers,,1509,133,185,120,1152,630,1105,1144,64,1160,472,870,580,1265,154,748,666,370,111,3327,2381,135,1088,3738,1228,24335
