Group,ATL / Candidate,Group/Party/IND,All Saints New Lambton,Callaghan Cllg - Jesmond Snr,Callaghan Cllg - Wallsend,Callaghan Cllg - Waratah Tech,Cardiff Hghts Baptist,Elermore Vale Public,Hamilton Nth Public,Hamilton Public,Islington Public,Jesmond Public,Lambton High,Mayfield Presbyterian,New Lambton Sth Public,Our Lady of Victories Shortland,Shortland Public,St John the Baptist Lambton,St Thereses New Lambton,Wallsend Comm. Pre-School,Wallsend Public,Wallsend Sth Public,Waratah Public,Waratah W Public,Adamstown Pre-Poll,Lambton Pre-Poll,Mayfield Pre-Poll,Newcastle RO Office,Wallsend Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,LIBERAL,254,166,12,49,39,20,58,8,12,39,137,9,181,43,15,163,258,44,49,147,201,75,232,318,121,32,326,129,748,322,4207
,WARK Katrina,Liberal,27,14,3,0,3,3,3,1,0,2,10,0,12,4,1,13,25,0,0,9,12,7,11,21,8,0,21,7,24,15,256
,BLANCH Catherine,Liberal,0,3,0,1,0,2,1,0,0,1,1,0,2,0,0,0,3,2,1,0,3,2,2,2,3,2,3,4,10,3,51
,BUMAN Aaron,Liberal,5,1,0,1,1,0,0,0,0,2,1,0,1,1,1,1,2,1,0,1,1,1,2,2,3,0,3,2,11,14,58
B,ATL Votes,LABOR,434,503,61,138,54,48,194,36,39,94,375,46,484,110,46,387,528,83,93,318,519,276,382,754,327,68,674,421,1643,594,9729
,NELMES Nuatali,Labor,40,50,6,7,2,4,21,0,6,10,37,4,50,10,6,42,52,7,9,29,68,24,40,60,7,5,74,27,113,44,854
,WINNEY-BAARTZ Peta,Labor,3,2,2,0,0,0,1,0,0,2,3,1,4,3,0,1,5,1,1,5,3,3,1,6,3,1,4,8,9,2,74
,WOOD Margaret,Labor,3,6,0,1,1,1,0,0,0,0,1,0,1,1,2,0,8,0,0,0,3,2,1,1,1,1,6,6,5,3,54
,JAMES Erica,Labor,1,3,0,0,2,0,1,0,0,0,2,0,1,2,1,3,2,1,2,2,1,1,2,3,0,0,3,2,3,3,41
C,ATL Votes,,117,64,6,19,12,7,33,4,5,18,70,8,83,20,3,228,110,19,7,56,77,42,107,333,59,20,146,64,213,186,2136
,BROOKER Mark,IND,24,19,0,0,4,0,3,1,2,5,25,1,21,4,0,67,35,0,1,8,11,7,22,104,9,4,34,5,57,41,514
,THREADINGHAM Marnie,IND,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,2,0,2,4,0,1,2,0,5,3,25
,GINTERS Erin,IND,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,2,10,2,27
D,ATL Votes,,92,43,13,21,11,15,29,2,5,14,89,9,65,13,3,104,123,10,16,55,79,30,69,205,46,13,106,34,159,143,1616
,WILD Dave,IND,11,11,3,5,1,3,9,1,1,4,21,0,11,0,1,30,36,1,0,2,21,7,12,53,10,2,16,10,64,29,375
,PARKINSON Leisha,IND,0,4,0,0,0,0,0,3,0,0,0,1,1,0,1,1,4,1,0,0,1,1,0,4,2,0,6,0,6,3,39
,ANGELOZZI David,IND,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,2,0,0,1,3,4,1,19
E,ATL Votes,ANIMAL JUSTICE PARTY,58,58,6,8,9,3,28,6,3,9,51,4,58,13,4,58,55,7,8,37,58,26,29,61,15,10,54,60,202,48,1046
,BROLLO Darren,AJP,8,4,0,0,3,0,1,1,0,0,7,0,6,2,0,10,6,2,0,5,4,4,2,13,1,2,7,6,14,6,114
,BREMNER YOUNG Sean,AJP,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,1,1,3,1,13
,BECHELLI Mario,AJP,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,5,0,15
F,ATL Votes,THE GREENS,154,181,11,71,17,14,73,27,35,29,137,21,142,39,15,94,167,20,23,53,189,78,113,197,71,34,125,168,491,123,2912
,FRANCIS-COAN Sinead,The Greens,10,7,2,3,3,0,2,1,1,3,8,3,8,3,0,12,5,2,2,2,13,4,7,25,5,2,6,14,30,7,190
,FORD Emmalee,The Greens,1,4,0,0,0,0,0,0,0,2,2,0,0,1,0,3,2,0,0,1,2,0,2,0,0,0,1,6,11,1,39
,NEWMARK Lily,The Greens,5,9,1,1,0,0,2,0,1,0,0,2,6,1,0,1,1,0,0,0,2,1,2,4,2,1,2,6,11,3,64
,Total Formal Votes,,1249,1154,126,325,162,120,461,95,110,235,978,109,1141,272,99,1223,1432,202,213,732,1273,592,1040,2174,694,199,1622,988,3851,1597,24468
,Total Informal Ballot Papers,,68,63,16,8,7,5,19,9,6,9,60,7,73,32,8,54,105,20,22,34,84,34,45,52,40,3,84,40,54,33,1094
,Total Votes / Ballot Papers,,1317,1217,142,333,169,125,480,104,116,244,1038,116,1214,304,107,1277,1537,222,235,766,1357,626,1085,2226,734,202,1706,1028,3905,1630,25562
