Group,ATL / Candidate,Group/Party/IND,Beresfield Public,Callaghan Cllg - Jesmond Snr,Callaghan Cllg - Wallsend,Elermore Vale Public,Glendore Public,Maryland Public,Minmi Hall,New Lambton Sth Public,Our Lady of Victories Shortland,Shortland Public,St Patricks Wallsend,Tarro Hall,Wallsend Comm. Pre-School,Wallsend Public,Wallsend Sth Public,Adamstown Pre-Poll,Lambton Pre-Poll,Mayfield Pre-Poll,Newcastle RO Office,Wallsend Pre-Poll,Enrolment/NAMAV,iVote,Postal,Total
A,ATL Votes,,160,7,132,118,97,127,80,2,34,89,37,23,13,106,39,9,5,22,2,747,89,357,155,2450
,ROGERS Wayne,IND,21,1,39,18,16,18,9,1,10,11,14,4,4,34,10,0,1,1,3,230,13,95,43,596
,REDMAN Julie-Anne,IND,7,0,4,7,1,1,2,0,4,4,1,1,0,1,1,0,0,1,0,24,6,17,2,84
,MOFFATT Leighton,IND,2,0,1,1,1,1,0,0,1,2,0,0,0,1,2,0,0,0,0,5,2,5,5,29
B,ATL Votes,THE GREENS,103,15,139,139,138,93,74,7,59,88,50,21,28,117,58,23,8,13,10,366,139,389,66,2143
,LEVICK Thomas,The Greens,8,0,8,8,5,5,3,0,5,7,1,3,3,14,3,2,0,1,0,27,13,26,3,145
,KEI Milo,The Greens,5,1,3,6,5,5,4,0,1,5,1,0,1,3,0,2,0,0,0,13,4,6,1,66
,HORKAN David,The Greens,0,0,2,2,0,2,0,0,1,0,1,0,2,2,0,0,0,0,0,7,6,3,2,30
C,ATL Votes,LIBERAL,255,13,213,203,294,177,175,2,60,142,43,41,17,133,57,13,18,14,8,1110,120,742,285,4135
,PULL Callum,Liberal,23,0,17,10,22,14,9,0,8,9,4,3,1,12,1,1,1,1,0,69,8,29,6,248
,TODHUNTER Stewart,Liberal,6,0,3,5,9,3,6,0,3,3,3,1,1,3,0,0,0,0,0,14,3,11,4,78
,CLARINGBOULD Maximus,Liberal,0,1,4,2,0,0,0,0,0,1,0,0,0,3,3,0,0,0,1,5,3,5,0,28
D,ATL Votes,LABOR,681,37,633,540,656,607,312,10,197,405,215,142,95,427,192,37,22,49,28,2638,412,2034,546,10915
,RICHARDSON Deahnna,Labor,26,2,37,24,17,27,11,2,7,16,9,9,4,28,12,3,2,3,1,142,23,46,26,477
,MORRIS Elizabeth,Labor,12,0,19,17,21,13,7,1,9,16,5,4,2,21,3,1,0,0,1,64,23,29,18,286
,CRUMP Ann,Labor,15,0,10,6,5,7,3,1,5,3,1,3,0,2,0,1,0,1,0,21,5,11,9,109
E,ATL Votes,,178,2,87,104,96,138,61,3,31,64,32,29,11,70,47,2,5,12,0,505,49,199,169,1894
,ELLIOTT Kath,IND,20,0,16,15,10,25,13,1,2,13,5,3,4,6,6,0,0,5,1,79,6,31,20,281
,CARLE Ben,IND,1,0,2,3,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,23
,GROVES James,IND,2,0,3,1,1,0,4,0,1,0,0,0,0,1,2,0,0,0,0,1,0,5,1,22
,UNGROUPED CANDIDATES,UNGROUPED CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,
,ROBINSON Allan,IND,19,0,13,11,15,8,11,0,8,19,3,3,0,6,3,1,2,2,0,61,3,50,40,278
,Total Formal Votes,,1544,79,1385,1240,1411,1273,785,30,446,897,425,290,186,993,439,95,64,125,55,6131,927,4096,1401,24317
,Total Informal Ballot Papers,,229,4,142,106,88,115,74,0,52,89,28,30,18,68,42,5,3,11,3,422,37,53,40,1659
,Total Votes / Ballot Papers,,1773,83,1527,1346,1499,1388,859,30,498,986,453,320,204,1061,481,100,67,136,58,6553,964,4149,1441,25976
