Group,ATL / Candidate,Group/Party/IND,Belmont High,Belmont N'hood Cntr,Belmont Public,Belmont Scout Hall,Blacksmiths Public,Caves Beach Uniting,Charlestown E Public,Charlestown Public,Charlestown Sth Public,Eleebana Public,Floraville Public,Hunter Sports High,Jewells Public,Marks Pt Public,Mt Hutton Public,Nords Wharf Hall,Redhead Public,Speers Pt Masonic,Swansea Public,The Swansea Cntr,Valentine Hall,Valentine Public,Warners Bay High,Warners Bay Public,Windale Comm. Cntr,Belmont Pre-Poll,Cameron Park Pre-Poll,Charlestown Pre-Poll,Cooranbong Pre-Poll,Speers Point Pre-Poll,Swansea Pre-Poll,Toronto Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,LABOR,195,432,387,333,194,198,213,159,187,759,519,347,559,245,755,118,583,33,248,601,279,636,485,309,719,2944,36,939,5,379,1592,8,22,91,347,1509,17365
,SHULTZ Adam,Labor,10,18,25,32,8,11,9,8,11,38,26,20,20,22,34,5,36,3,19,44,20,25,16,23,38,157,3,34,1,17,83,1,2,3,20,81,923
,BUCKLEY Christine,Labor,2,2,3,5,1,4,2,1,0,8,10,1,3,1,11,0,0,1,3,4,3,3,3,2,14,36,0,6,0,4,12,0,0,2,7,11,165
,RADCLIFFE Stacey,Labor,1,1,1,1,1,0,1,1,1,1,4,4,1,0,1,2,1,0,1,2,0,2,0,0,4,13,0,3,0,0,2,0,0,1,4,3,57
,STEEL Joseph,Labor,1,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,2,1,3,5,0,1,0,1,8,0,1,0,3,4,41
B,ATL Votes,,20,50,38,84,160,53,21,11,17,69,58,28,63,65,79,46,59,3,25,163,32,50,45,35,61,325,5,74,0,48,416,0,3,11,47,164,2428
,TURNBULL Rowen,IND,19,13,13,31,72,15,6,7,4,19,22,4,22,36,19,19,21,2,17,97,11,24,11,7,16,161,0,18,0,6,226,0,0,3,13,58,1012
,WAGSTAFF Kaciee,IND,1,1,3,1,5,1,0,0,1,1,0,0,0,0,0,0,3,0,0,3,0,1,1,2,1,1,0,0,0,1,9,0,0,0,1,2,39
,HARVEY Dyllan,IND,0,1,0,1,0,0,0,1,0,0,1,1,3,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,2,18
,SULIS Tina,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,14
C,ATL Votes,LAKE MAC INDEPENDENTS,92,162,139,148,81,99,83,68,74,480,208,132,224,145,284,123,197,29,86,276,134,309,282,135,229,1072,11,537,5,196,597,8,20,31,147,579,7422
,HANNAH Michael,Local Independents,5,5,1,7,1,3,1,1,2,6,2,3,0,3,7,2,5,0,6,9,3,2,6,1,10,28,0,11,0,4,9,0,0,0,5,7,155
,GIBSON David,Local Independents,0,4,3,1,1,0,1,0,1,4,2,0,1,2,4,3,2,0,1,2,2,2,2,0,2,8,0,3,0,1,5,0,0,0,0,4,61
,EDWARDS John,Local Independents,1,0,0,0,0,0,1,0,0,2,1,1,1,1,1,1,1,0,0,0,1,1,3,0,3,5,0,2,0,1,2,0,0,0,3,5,37
,HANNAH Allison,Local Independents,1,2,2,2,1,0,0,0,1,3,4,0,0,2,4,1,1,0,1,3,2,4,3,3,7,15,0,6,0,1,8,0,0,1,2,11,91
D,ATL Votes,THE GREENS,72,81,87,80,39,62,109,79,54,196,116,89,112,66,202,42,177,15,28,170,51,140,150,77,120,421,6,273,0,71,228,3,12,6,158,210,3802
,OAKLEY Jane,The Greens,1,7,6,5,2,2,2,5,5,10,8,3,4,5,9,5,11,1,2,7,4,7,8,3,6,15,0,4,1,3,12,1,0,0,7,4,175
,RILEY Elizabeth,The Greens,0,0,2,2,0,0,0,0,1,2,1,0,0,1,3,0,3,0,0,0,1,1,0,0,4,8,0,2,0,1,3,0,0,0,3,1,39
,PHILIPPOU Patricia,The Greens,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,2,0,0,4,0,0,0,1,0,21
,REAY BARTSCH Stephanee,The Greens,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,2,0,16
E,ATL Votes,LIBERAL,122,169,245,221,108,153,110,90,61,668,391,146,294,131,305,144,390,35,122,393,200,387,320,158,174,2108,21,518,2,341,1051,3,22,51,208,1051,10913
,SCHULTZ Matt,Liberal,1,10,10,11,3,7,7,1,2,22,14,2,9,6,18,2,14,3,4,15,9,11,15,10,9,114,0,20,0,5,38,0,0,0,6,23,421
,HARDING Melody,Liberal,3,3,3,7,0,7,3,1,1,12,3,2,4,0,5,1,12,0,1,10,4,7,3,5,4,48,0,15,0,7,23,0,1,0,5,31,231
,CHAPMAN Rod,Liberal,1,0,0,1,0,1,1,0,0,2,0,2,0,2,1,1,0,0,0,2,1,3,0,2,0,3,0,4,0,2,5,0,0,0,0,5,39
,VOLKER Dianne,Liberal,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,0,1,1,16
,Total Formal Votes,,550,962,970,975,677,622,571,434,427,2304,1391,785,1321,737,1745,516,1525,125,564,1806,758,1618,1358,773,1427,7494,83,2475,14,1090,4340,24,83,200,991,3766,45501
,Total Informal Ballot Papers,,49,93,81,95,41,42,45,42,42,160,97,90,108,80,171,44,109,10,60,157,53,148,108,50,193,555,5,144,1,58,299,4,8,7,52,242,3543
,Total Votes / Ballot Papers,,599,1055,1051,1070,718,664,616,476,469,2464,1488,875,1429,817,1916,560,1634,135,624,1963,811,1766,1466,823,1620,8049,88,2619,15,1148,4639,28,91,207,1043,4008,49044
