Group,ATL / Candidate,Group/Party/IND,Argenton Comm. Hall,Barnsley Public,Cameron Park Comm. Cntr,Cardiff Hghts Baptist,Cardiff Nth Public,Cardiff Public,Cardiff Sth Public,Charlestown E Public,Charlestown Public,Charlestown Sth Public,Dudley Pensioners Hall,Edgeworth Heights Public,Edgeworth Public,Elermore Vale Public,Garden Suburb Public,Glendale E Public,Hillsborough Public,Kahibah Public,Kotara High,Kotara Sth Public,Lakelands Hall,Mt Hutton Public,Pasterfield Sports,Speers Pt Masonic,W Wallsend High,Wallsend Sth Public,Warners Bay High,Whitebridge High,Belmont Pre-Poll,Cameron Park Pre-Poll,Charlestown Pre-Poll,Cooranbong Pre-Poll,Speers Point Pre-Poll,Swansea Pre-Poll,Toronto Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,LAKE MAC INDEPENDENTS,34,48,404,234,204,520,269,142,222,184,164,173,395,34,253,287,191,244,69,87,301,34,250,337,262,123,125,156,50,1019,1044,3,648,18,16,149,8,296,863,9860
,GRIGG Colin,Local Independents,1,1,6,12,16,23,19,7,7,7,2,5,11,2,6,11,12,8,4,0,10,1,6,11,12,7,4,14,5,22,27,1,23,1,2,7,0,16,20,349
,HALL Tara,Local Independents,1,0,11,6,5,12,14,2,5,4,2,4,18,0,5,6,3,3,2,1,9,0,1,8,6,1,4,1,2,14,9,0,14,2,0,4,0,13,21,213
,SECOMB Daniel,Local Independents,0,0,4,3,0,1,3,1,0,1,0,4,5,0,0,1,0,4,0,1,1,0,2,2,1,2,0,0,0,6,2,0,4,0,0,0,0,3,3,54
,SULLIVAN Timothy,Local Independents,0,1,0,1,1,1,1,0,4,0,0,2,5,0,0,4,0,1,1,1,1,0,1,1,0,1,2,2,1,2,3,0,2,0,0,0,0,2,2,43
B,ATL Votes,THE GREENS,14,15,188,184,188,296,223,137,260,154,253,80,180,35,204,137,134,276,62,94,139,18,119,193,127,120,70,151,25,364,613,2,195,6,8,108,2,275,287,5936
,HAM Bryce,The Greens,0,0,14,11,12,19,13,7,26,11,26,3,13,0,12,14,5,15,2,4,7,3,4,11,4,5,3,14,1,16,35,0,16,0,0,5,0,31,17,379
,WATKINSON Gregory,The Greens,0,0,3,2,1,0,3,2,3,1,2,1,5,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,4,3,0,6,0,0,0,0,6,1,50
,NELSON Tal,The Greens,0,0,0,0,1,4,0,1,1,1,1,1,2,0,2,2,0,2,2,2,0,2,0,1,0,1,0,0,0,1,0,0,3,1,0,2,0,2,0,35
,McLEAN Andrew,The Greens,0,0,4,1,0,1,1,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0,2,0,2,2,0,2,0,0,0,0,2,1,25
C,ATL Votes,LIBERAL,27,26,416,266,194,399,286,180,276,231,241,155,242,40,281,210,243,346,70,99,352,18,228,360,175,105,176,177,60,1058,1123,0,797,19,13,191,14,198,932,10224
,ANTCLIFF Jack,Liberal,0,1,13,7,6,7,12,10,14,8,6,3,11,2,11,13,10,29,3,5,9,0,7,16,4,4,5,10,0,29,26,0,26,0,1,3,0,14,22,347
,SWANE Daniel,Liberal,2,0,3,1,0,6,2,2,4,1,2,2,2,1,0,1,5,1,0,1,4,0,0,2,4,3,1,1,1,8,8,0,7,0,0,0,1,4,8,88
,ANTCLIFF Susan,Liberal,0,0,3,2,2,4,4,2,0,4,2,1,3,0,2,1,3,3,4,1,0,0,3,4,1,1,1,2,0,7,10,0,8,0,0,1,0,7,9,95
,PAULING Mark,Liberal,0,1,3,1,2,2,1,3,3,0,2,0,1,1,0,0,3,3,1,0,6,0,0,1,2,1,3,1,0,3,9,0,4,0,1,0,0,3,7,68
D,ATL Votes,LABOR,72,34,622,360,375,728,588,332,428,327,349,315,651,52,359,459,467,490,129,132,448,35,382,542,395,216,171,285,69,1981,1616,8,893,17,21,301,15,410,1274,16348
,ADAMTHWAITE Brian,Labor,0,0,20,9,15,21,8,9,18,2,11,13,17,1,7,13,8,15,3,2,9,2,3,9,19,3,11,12,2,57,25,1,29,0,1,10,1,13,43,442
,CONROY Keara,Labor,0,0,9,4,9,7,6,1,6,4,5,3,10,0,5,6,3,3,4,4,6,1,2,5,6,5,1,3,2,14,17,0,9,1,0,4,0,14,22,201
,HOWELLS Mark,Labor,1,1,4,3,4,6,2,2,2,2,0,2,6,0,0,2,1,2,1,1,2,1,3,3,3,1,1,3,1,7,1,0,2,0,0,0,0,2,5,77
,VIJAY Gaurav,Labor,0,0,8,0,0,0,1,0,1,2,0,2,3,0,1,1,0,2,0,1,2,0,3,1,1,0,1,4,0,6,4,0,4,1,0,1,0,2,2,54
,UNGROUPED CANDIDATES,UNGROUPED CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MCCORKELL James,IND,0,0,4,3,3,16,10,2,8,2,1,1,6,2,2,4,4,1,1,2,6,0,2,2,5,0,2,0,0,15,12,0,6,0,1,2,0,4,12,141
,MCCORKELL Travis,IND,0,0,1,0,1,6,5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,2,2,0,0,0,0,0,2,3,0,1,0,0,0,0,2,4,35
,SMITH Daniel,IND,0,0,3,3,4,12,3,0,2,4,0,1,1,2,4,5,1,1,1,0,0,0,0,0,2,1,0,1,0,5,8,0,5,1,0,2,0,4,13,89
,Total Formal Votes,,152,128,1743,1113,1043,2091,1474,842,1291,950,1070,771,1588,172,1156,1179,1095,1453,360,439,1312,116,1018,1512,1030,601,581,840,219,4642,4600,15,2704,67,64,790,41,1323,3568,45153
,Total Informal Ballot Papers,,18,8,148,62,66,205,142,52,104,71,56,58,182,11,56,96,70,83,24,26,77,12,84,108,114,35,61,55,24,288,222,2,132,4,3,44,0,58,154,3015
,Total Votes / Ballot Papers,,170,136,1891,1175,1109,2296,1616,894,1395,1021,1126,829,1770,183,1212,1275,1165,1536,384,465,1389,128,1102,1620,1144,636,642,895,243,4930,4822,17,2836,71,67,834,41,1381,3722,48168
