Group,ATL / Candidate,Group/Party/IND,Arcadia Vale Public,Argenton Comm. Hall,Barnsley Public,Biraban Public,Blackalls Park Public,Bonnells Bay Youth and Comm Cntr,Booragul Public,Coal Pt Public,Cooranbong Public,Dora Crk Arts Hall,Fassifern Public,Fennell Bay Public,Kilaben Bay Hall,Morisset Public,Rathmines Hall,Speers Pt Masonic,Sth Lake Macquarie Sailing Club,Teralba Public,Toronto MPC,W Wallsend High,Wangi Wangi Public,Woodrising Neighbourhood Cntr,Wyee Public,Belmont Pre-Poll,Cameron Park Pre-Poll,Charlestown Pre-Poll,Cooranbong Pre-Poll,Speers Point Pre-Poll,Swansea Pre-Poll,Toronto Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,LAKE MAC INDEPENDENTS,169,129,305,233,232,351,248,270,405,146,145,306,194,283,396,34,126,277,235,129,257,172,444,10,196,37,1218,166,9,1337,20,41,219,659,9398
,WARNER Kate,Local Independents,3,14,18,19,19,31,20,18,26,8,13,26,17,32,34,4,11,22,19,8,16,18,25,0,15,4,107,9,2,108,3,0,24,42,735
,DORSE Ashley,Local Independents,0,1,10,2,1,3,1,1,2,1,0,3,0,1,0,0,0,1,2,1,1,3,2,0,2,0,9,0,0,1,0,0,4,1,53
,GRAHAM Steve,Local Independents,3,0,4,0,0,4,0,1,0,1,1,0,1,0,2,1,0,1,1,2,1,0,1,0,1,0,6,1,0,4,1,0,2,3,42
,MOTYKA Olenka,Local Independents,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,3,0,0,1,0,0,0,3,17
B,ATL Votes,OUR LOCAL COMMUNITY,47,39,97,48,56,121,36,34,109,80,29,79,25,135,116,5,32,74,44,38,60,43,170,2,29,3,397,41,3,329,9,8,107,190,2635
,BOWYER Toni,OLC,0,4,3,1,2,1,3,0,8,4,3,10,1,13,2,0,5,3,4,2,3,3,8,0,0,0,14,0,0,17,0,0,2,7,123
,COOPER Elizabeth,OLC,1,1,0,1,3,6,0,0,1,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,4,0,1,0,4,34
,HOGAN Alan,OLC,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,1,4,15
,SOUTHEE Paris,OLC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,1,2,12
C,ATL Votes,THE GREENS,74,68,73,75,69,122,61,58,106,49,38,94,61,125,89,22,41,107,75,49,91,55,105,3,48,18,226,40,2,263,8,9,133,159,2616
,SCHRANER Ingrid,The Greens,1,2,1,3,0,3,3,5,3,4,4,4,1,1,2,0,1,1,3,2,7,4,4,0,3,0,13,5,0,17,0,0,6,5,108
,GRIERSON Kim,The Greens,1,0,1,2,0,1,1,0,2,0,1,1,1,1,0,0,0,2,3,1,1,2,1,0,0,0,3,0,0,1,0,0,3,2,31
,SUWALD Kerry,The Greens,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,11
,ECKERSLEY Charmian,The Greens,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,13
D,ATL Votes,LABOR,216,260,310,376,344,339,241,145,239,196,160,280,164,333,384,36,184,325,247,187,312,297,328,11,317,40,1171,256,12,1432,35,59,232,720,10188
,BISHOP Madeline,Labor,2,3,3,11,9,4,10,5,2,6,2,5,3,8,1,0,3,5,5,4,5,10,7,0,6,2,25,2,0,33,1,3,8,13,206
,BELCHER David,Labor,0,1,0,3,2,4,1,1,4,2,1,2,1,4,3,0,12,2,3,1,2,3,3,0,1,0,18,1,0,10,0,0,3,7,95
,ROBSON Mackenzie,Labor,0,4,2,1,0,2,0,1,2,2,0,0,0,2,2,0,0,0,1,3,3,1,1,0,2,0,3,2,0,5,1,0,0,2,42
,RYAN Stephen,Labor,0,1,0,2,1,2,0,0,4,0,2,1,0,1,1,0,0,5,0,0,3,0,0,1,1,0,3,0,0,3,0,0,1,3,35
E,ATL Votes,,49,9,17,27,48,145,13,19,93,142,13,34,23,106,98,6,133,25,60,6,72,21,77,0,14,4,756,22,0,304,0,5,42,229,2612
,DAWSON Rosmairi,IND,3,3,2,5,4,13,1,7,11,16,1,7,1,15,15,1,12,1,5,0,8,4,9,1,0,0,75,0,0,26,0,1,8,40,295
,DAVIDSON Graham,IND,0,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,1,0,0,4,0,0,1,1,19
,COULTER Janette,IND,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,13
,ROGAN Melissa,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
F,ATL Votes,LIBERAL,127,62,115,105,106,323,111,192,238,167,82,132,133,199,224,22,93,224,135,73,163,102,335,7,125,13,1778,126,24,1009,14,64,163,791,7577
,PAULING Jason,Liberal,1,3,2,4,5,11,7,9,13,10,1,4,7,10,3,0,2,8,4,7,7,4,10,1,3,0,62,4,2,30,0,2,9,13,258
,JONES Nicholas,Liberal,0,1,2,2,2,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,2,4,0,1,0,8,2,0,3,0,0,1,4,39
,PAULING Julie,Liberal,1,1,2,0,0,2,0,0,4,3,0,1,0,1,1,0,0,0,1,0,1,0,0,0,2,0,8,1,0,3,0,2,4,2,40
,UIDAM Michael,Liberal,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
G,ATL Votes,,60,17,8,43,54,121,44,66,91,84,35,49,121,98,141,1,38,72,63,3,227,75,198,0,9,3,543,12,1,548,0,1,53,103,2982
,SWINSBURG Anthony,IND,9,1,4,1,11,18,3,8,12,10,3,7,11,12,18,1,3,5,4,1,24,5,21,0,1,0,67,2,1,71,0,0,8,35,377
,EDWARDS Lorna,IND,0,0,0,2,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11
,PICKARD David,IND,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,10
,LORD Linda,IND,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8
,UNGROUPED CANDIDATES,UNGROUPED CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MILTON Edward (Eddie),IND,1,1,2,0,2,0,4,0,0,0,2,5,0,2,5,0,1,5,0,0,3,1,0,0,1,0,5,5,0,3,0,0,1,8,57
,Total Formal Votes,,771,633,985,966,974,1641,810,843,1378,934,537,1053,767,1390,1540,133,705,1171,918,519,1276,827,1757,36,777,124,6543,699,56,5576,92,196,1036,3054,40717
,Total Informal Ballot Papers,,44,69,113,69,96,233,70,46,170,112,42,109,53,178,126,12,76,95,59,71,129,64,257,4,70,3,647,40,5,352,7,9,67,78,3575
,Total Votes / Ballot Papers,,815,702,1098,1035,1070,1874,880,889,1548,1046,579,1162,820,1568,1666,145,781,1266,977,590,1405,891,2014,40,847,127,7190,739,61,5928,99,205,1103,3132,44292
