Group,ATL / Candidate,Group/Party/IND,Carrington Public,Goodlife Church Wickham,Hamilton Public,Hamilton Sth Public,Islington Public,Mayfield Church of Christ,Mayfield E Public,Merewether Uniting,New Lambton Sth Public,Newcastle E Public,Newcastle School,Newcastle TAFE,St Andrews Mayfield,St Johns Cooks Hill,Stockton Public,The Junction Public,Warabrook Comm. Cntr,Adamstown Pre-Poll,Fletcher Pre-Poll,Mayfield Pre-Poll,Merewether Pre-Poll,New Lambton Pre-Poll,Newcastle Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,THE GREENS,359,215,59,25,474,253,415,20,30,308,193,177,488,231,207,63,141,74,1,652,17,25,528,29,6,354,223,5567
,McCABE Charlotte,The Greens,21,15,5,3,31,16,33,0,3,24,15,20,35,16,16,2,7,6,0,36,1,1,43,1,0,27,17,394
,BURGESS Catherine,The Greens,3,0,2,0,0,0,2,0,2,0,2,0,1,0,2,0,1,0,0,4,0,0,1,0,0,8,8,36
,WEST Simon,The Greens,2,2,1,0,2,1,1,0,0,0,0,1,3,0,0,1,2,0,0,1,0,0,0,0,0,4,0,21
B,ATL Votes,LABOR,413,182,46,18,312,336,402,15,42,305,222,115,571,201,531,52,305,77,2,1133,38,31,717,52,39,324,536,7017
,CLAUSEN Declan,Labor,13,12,1,0,10,9,15,2,1,19,4,6,31,13,17,1,9,4,0,47,0,0,34,2,0,17,20,287
,FELTHAM Sandra,Labor,6,5,1,0,2,10,10,0,0,2,0,1,7,2,4,0,4,1,0,24,0,1,10,5,0,5,6,106
,SMOOTHY Rachel,Labor,5,4,1,0,1,5,6,2,1,3,4,1,7,2,5,1,4,1,0,9,0,1,7,0,0,6,5,81
C,ATL Votes,SOCIALIST ALLIANCE,32,32,4,3,35,34,39,1,4,34,35,10,62,18,32,4,12,6,0,89,2,2,62,4,3,36,30,625
,O'BRIEN Steve,,2,1,0,0,5,5,2,0,1,7,5,2,6,2,1,0,5,0,0,3,0,0,11,0,0,4,6,68
,ASHBY Samantha,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,3,9
,STRAZZARI Stefani,,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5
D,ATL Votes,LIBERAL,180,115,18,17,137,128,135,10,18,189,130,40,202,122,304,27,136,72,1,648,34,30,444,21,20,141,346,3665
,MANNING Rochelle,Liberal,7,13,1,1,12,9,14,1,0,21,7,0,7,6,14,0,4,1,0,24,1,0,21,5,0,8,17,194
,LEE Lucas,Liberal,1,0,0,0,3,1,3,0,0,1,3,0,1,2,3,0,0,1,0,5,0,0,1,0,0,3,1,29
,PEEBLES Colin,Liberal,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,3,0,0,1,0,1,3,1,15
E,ATL Votes,,268,111,28,33,164,161,204,8,15,319,201,56,339,167,300,29,142,84,2,725,40,18,958,31,7,115,451,4976
,KERRIDGE Ross,IND,63,19,7,7,42,34,47,0,6,73,30,18,68,29,61,8,22,22,1,120,5,3,161,6,0,34,116,1002
,GITTINS Peter,IND,1,0,0,0,0,1,2,1,0,0,0,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,1,13
,COKER Emily,IND,1,0,1,0,0,0,1,0,0,1,0,3,1,0,1,1,0,0,0,4,0,0,3,0,1,1,0,19
,UNGROUPED CANDIDATES,UNGROUPED CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OSLAND Grant,IND,1,1,0,0,0,1,14,0,0,0,7,1,3,0,1,1,0,0,0,4,0,1,1,0,0,1,0,37
,MACKENZIE Deborah,IND,3,0,0,0,1,1,2,0,0,2,0,1,6,2,18,0,1,1,0,3,0,0,2,0,0,3,4,50
,Total Formal Votes,,1381,727,176,107,1233,1005,1347,60,123,1309,859,452,1842,815,1521,191,796,350,7,3538,138,113,3008,156,77,1094,1791,24216
,Total Informal Ballot Papers,,100,32,13,8,51,68,82,3,7,59,45,16,143,53,164,17,69,18,0,220,4,1,97,13,6,48,32,1369
,Total Votes / Ballot Papers,,1481,759,189,115,1284,1073,1429,63,130,1368,904,468,1985,868,1685,208,865,368,7,3758,142,114,3105,169,83,1142,1823,25585
