Group,ATL / Candidate,Group/Party/IND,Adamstown Snr Ctzn Cntr,Carrington Public,Hamilton Public,Hamilton Sth Comm. Hall,Hamilton Sth Public,Islington Public,Kotara High,Kotara Sth Public,Merewether Hghts Public,Merewether Uniting,New Lambton Sth Public,Newcastle E Public,Newcastle School,St Augustine's Anglican,St Columba's Adamstown,St Johns Cooks Hill,St Thereses New Lambton,The Junction Public,Adamstown Pre-Poll,Fletcher Pre-Poll,Mayfield Pre-Poll,Merewether Pre-Poll,New Lambton Pre-Poll,Newcastle Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,THE GREENS,349,20,485,100,269,48,268,204,213,174,56,24,34,188,272,214,20,422,762,5,40,324,45,245,22,10,324,290,5427
,PRINGLE Joel,The Greens,15,1,31,12,20,5,17,15,9,9,2,3,0,9,10,10,4,25,35,0,1,13,0,11,0,0,17,18,292
,GILES Greg,The Greens,0,0,2,1,5,1,0,1,1,1,1,0,0,2,2,1,1,1,4,0,0,1,0,1,1,1,5,1,34
,McAULEY Sophie,The Greens,8,1,11,3,11,3,7,9,5,8,3,0,2,3,11,6,1,10,20,0,0,6,1,8,0,0,8,8,153
B,ATL Votes,LIBERAL,285,9,242,69,346,19,300,239,321,218,30,21,17,307,324,164,20,434,1019,1,32,686,69,196,14,17,213,546,6158
,BARRIE Jenny,Liberal,14,2,15,2,17,1,15,9,17,11,3,1,2,9,12,6,1,20,50,0,2,25,2,5,2,0,10,27,280
,MCNAMARA Paul,Liberal,6,0,8,1,12,1,5,6,10,6,1,2,1,4,5,3,0,8,19,0,2,2,1,2,1,1,10,5,122
,MANN Natarsha,Liberal,2,0,2,0,1,0,2,1,2,2,0,0,1,2,0,1,0,2,4,0,2,0,0,0,0,0,3,6,33
C,ATL Votes,LABOR,418,14,432,152,379,36,398,326,304,201,73,29,31,227,356,181,26,476,1220,5,30,568,72,284,34,25,270,573,7140
,JOHNSON Paige,Labor,28,2,26,14,29,2,24,23,18,14,0,0,3,16,19,17,0,24,86,0,0,18,3,7,4,2,22,18,419
,DUNCAN Carol,Labor,12,0,16,9,18,1,7,12,12,12,0,0,0,12,6,6,1,21,39,0,0,21,3,8,1,2,2,23,244
,CLARK Justine,Labor,7,1,8,1,2,0,2,4,0,3,0,1,0,3,3,1,2,3,11,0,1,2,0,2,0,0,3,4,64
D,ATL Votes,,147,7,317,64,378,13,225,199,172,104,24,16,7,160,238,178,8,323,917,6,33,492,49,217,10,2,87,388,4781
,PARKINSON Leisha,IND,19,1,42,7,28,2,38,30,20,9,3,0,0,28,22,7,1,45,90,0,2,48,5,18,0,0,12,34,511
,BEACH John,IND,5,1,11,0,6,0,9,3,5,3,2,1,0,6,8,9,1,11,23,0,0,15,4,10,0,1,9,24,167
,EVERINGHAM Christine,IND,1,0,3,2,2,0,3,1,3,5,1,0,0,4,4,3,0,4,12,0,0,7,1,4,1,0,0,15,76
,Total Formal Votes,,1316,59,1651,437,1523,132,1320,1082,1112,780,199,98,98,980,1292,807,86,1829,4311,17,145,2228,255,1018,90,61,995,1980,25901
,Total Informal Ballot Papers,,89,4,112,58,96,8,82,61,59,62,14,4,6,34,71,37,3,126,283,0,14,79,20,49,11,4,47,101,1534
,Total Votes / Ballot Papers,,1405,63,1763,495,1619,140,1402,1143,1171,842,213,102,104,1014,1363,844,89,1955,4594,17,159,2307,275,1067,101,65,1042,2081,27435
