Group,ATL / Candidate,Group/Party/IND,Adamstown Snr Ctzn Cntr,All Saints New Lambton,Callaghan Cllg - Jesmond Snr,Callaghan Cllg - Wallsend,Cardiff Hghts Baptist,Elermore Vale Public,Hamilton Nth Public,Hamilton Public,HMC Waratah,Islington Public,Jesmond Nhood Cntr,Lambton High,Lambton Public,New Lambton Sth Public,Our Lady of Victories Shortland,Shortland Public,St Andrews Mayfield,St Thereses New Lambton,Wallsend Public,Wallsend Sth Public,Waratah Public,Waratah W Public,Adamstown Pre-Poll,Fletcher Pre-Poll,Mayfield Pre-Poll,Merewether Pre-Poll,New Lambton Pre-Poll,Newcastle Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,THE GREENS,28,223,366,23,48,16,145,44,122,70,129,236,217,230,86,28,20,310,73,110,460,149,98,5,167,11,646,85,232,10,307,252,4946
,FRANCIS-COAN Sinead,The Greens,1,8,14,3,2,2,16,5,11,1,18,19,12,9,1,1,3,10,1,5,29,12,10,0,11,1,33,3,22,0,17,7,287
,ISHERWOOD Siobhan,The Greens,0,1,4,1,2,0,3,1,0,0,3,3,2,2,3,0,0,2,0,1,2,3,1,0,3,0,8,0,6,0,5,3,59
,ROOKE-FRIZELL Anne,The Greens,0,2,4,2,2,1,3,0,3,2,3,0,2,5,1,0,0,2,2,1,9,3,3,0,4,0,4,0,3,0,11,2,74
B,ATL Votes,LABOR,36,313,484,47,63,44,206,36,124,56,174,387,352,460,151,40,37,528,117,234,656,292,176,10,272,22,1304,117,628,60,316,659,8401
,NELMES Nuatali,Labor,3,22,28,3,3,5,10,2,10,4,16,31,29,30,12,3,5,43,6,21,40,26,12,1,13,2,76,12,53,2,23,39,585
,WINNEY-BAARTZ Peta,Labor,0,5,3,1,0,1,5,0,1,1,2,6,4,7,1,0,0,7,0,0,4,2,2,0,2,0,17,0,8,0,2,8,89
,WOOD Margaret,Labor,1,5,5,0,1,2,1,0,0,1,1,4,1,9,6,0,0,3,1,0,8,4,1,0,3,0,12,2,8,2,1,13,95
,MILLARD Phillip,Labor,1,1,2,1,1,0,3,0,2,1,1,1,1,3,1,1,0,2,1,1,5,2,1,0,3,0,3,0,3,1,5,8,55
C,ATL Votes,,23,337,229,16,41,33,119,30,70,25,90,446,367,280,67,14,11,365,69,222,332,182,156,15,195,12,1484,61,503,25,135,617,6571
,BROOKER Mark,IND,0,43,38,1,6,3,9,1,7,1,7,58,48,27,12,0,1,44,5,11,23,15,18,0,12,0,161,4,42,1,21,60,679
,BROWN Michelle,IND,0,2,5,0,0,2,0,0,3,1,2,6,4,7,1,0,0,5,1,6,1,6,3,1,1,0,9,1,6,0,4,12,89
,LOCHRIN Alyssa,IND,0,1,1,0,1,0,0,0,0,0,1,5,3,2,0,0,0,3,0,0,3,2,0,0,2,0,5,2,2,0,2,6,41
D,ATL Votes,,4,128,77,9,17,10,45,4,31,5,26,87,91,95,26,5,4,113,14,74,85,41,36,1,74,0,518,28,102,11,36,189,1986
,WARK Katrina,IND,0,18,5,1,4,0,3,1,4,1,4,9,6,10,5,1,0,16,4,6,9,4,4,1,7,0,64,1,10,0,5,26,229
,CAINE Milton,IND,1,7,6,0,0,0,4,0,3,0,1,5,2,3,3,1,0,4,1,2,6,3,5,0,2,0,10,0,4,0,4,10,87
,WEATHERSTONE Andrew,IND,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0,0,1,6,22
,Total Formal Votes,,98,1116,1272,108,191,119,572,124,391,169,479,1305,1142,1180,377,94,81,1458,295,695,1673,747,526,34,773,48,4355,317,1632,112,895,1917,24295
,Total Informal Ballot Papers,,7,70,115,12,7,13,34,8,19,9,47,110,108,85,34,8,1,121,25,61,154,85,37,0,54,1,219,17,153,13,40,98,1765
,Total Votes / Ballot Papers,,105,1186,1387,120,198,132,606,132,410,178,526,1415,1250,1265,411,102,82,1579,320,756,1827,832,563,34,827,49,4574,334,1785,125,935,2015,26060
