Group,ATL / Candidate,Group/Party/IND,Beresfield Public,Callaghan Cllg - Jesmond Snr,Callaghan Cllg - Wallsend,Elermore Vale Public,Fletcher Comm. Cntr,Glendore Public,Jesmond Nhood Cntr,Maryland Public,Minmi Hall,New Lambton Sth Public,Our Lady of Victories Shortland,Shortland Public,St Patricks Wallsend,Tarro Hall,Wallsend Public,Wallsend Sth Public,Adamstown Pre-Poll,Fletcher Pre-Poll,Mayfield Pre-Poll,Merewether Pre-Poll,New Lambton Pre-Poll,Newcastle Pre-Poll,Wallsend Pre-Poll,Declared Institution,Enrolment/Provisional,Postal,Total
A,ATL Votes,LABOR,686,33,527,537,387,506,42,568,201,30,176,458,245,186,506,214,22,921,73,6,43,49,2349,53,319,755,9892
,ADAMCZYK Elizabeth,Labor,34,1,29,27,22,29,0,25,13,0,9,21,13,15,23,4,2,35,5,1,1,2,137,3,29,27,507
,RICHARDSON Deahnna,Labor,18,0,8,11,2,10,3,7,2,0,1,3,4,1,12,3,0,19,0,0,0,0,34,1,19,12,170
,SCOTT Jimmy,Labor,17,0,11,13,9,10,0,6,7,2,2,8,0,0,6,3,1,14,0,1,1,1,47,0,8,5,172
B,ATL Votes,THE GREENS,165,17,180,236,151,150,21,165,57,30,74,211,102,36,227,105,13,201,18,5,16,19,583,5,197,162,3146
,WATKINS Rebecca,The Greens,12,5,13,16,12,17,2,16,5,2,8,3,6,5,16,10,2,20,0,0,0,3,37,0,14,13,237
,WHITTALL Graham,The Greens,1,0,2,4,0,1,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,5,0,2,0,23
,MAHER Phillip,The Greens,0,0,2,2,0,1,0,2,1,0,1,1,1,0,1,1,0,3,0,0,0,0,4,0,2,1,23
C,ATL Votes,LIBERAL,373,10,246,287,268,293,8,292,151,19,103,222,87,92,231,75,17,669,21,2,31,25,1395,30,185,487,5619
,PULL Callum,Liberal,41,0,22,21,18,21,2,21,14,1,7,13,10,12,13,5,1,54,1,1,1,1,89,1,20,33,423
,GIGLI Beniamino,Liberal,2,0,2,4,1,0,0,0,3,0,0,1,0,0,0,1,1,2,0,0,0,0,6,0,1,4,28
,HAYES Edward,Liberal,2,0,2,1,1,2,0,0,0,0,1,1,1,0,3,0,1,4,0,0,0,0,7,0,1,1,28
D,ATL Votes,,249,8,185,211,149,175,13,226,78,8,83,148,86,84,174,83,4,341,25,2,22,13,992,6,94,318,3777
,KELSO Tahlia,IND,38,0,18,23,11,11,0,10,7,0,11,18,8,7,17,7,0,45,5,0,1,0,94,1,18,18,368
,DAVIES Julie,IND,11,0,2,3,2,4,0,2,0,0,1,0,1,6,4,0,0,3,0,1,0,1,13,0,1,8,63
,ROGERS Wayne,IND,4,0,11,2,7,4,1,8,3,0,7,5,6,0,5,2,1,14,1,1,0,0,58,0,2,32,174
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOYCE Timothy,IND,26,2,8,12,5,11,0,21,4,0,2,17,3,4,7,0,1,18,1,0,0,0,53,0,5,10,210
,HARRIS Anna,IND,6,1,3,2,1,2,0,5,3,0,0,2,3,1,0,2,0,1,0,0,0,0,11,0,3,1,47
,Total Formal Votes,,1685,77,1271,1412,1046,1247,92,1374,549,92,487,1132,576,450,1249,515,66,2366,150,20,116,114,5914,100,920,1887,24907
,Total Informal Ballot Papers,,229,7,170,150,68,132,13,133,50,5,52,103,45,48,92,48,5,172,11,0,9,3,520,9,53,129,2256
,Total Votes / Ballot Papers,,1914,84,1441,1562,1114,1379,105,1507,599,97,539,1235,621,498,1341,563,71,2538,161,20,125,117,6434,109,973,2016,27163
